UDI,Product ID,timestamp,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
2984,L50163,2031-03-03 08:00:00,L,300.6,309.6,1290,57.4,119,0,0,0,0,0,0
2985,L50164,2031-03-04 08:00:00,L,300.6,309.7,1639,30.4,121,0,0,0,0,0,0
2986,L50165,2031-03-05 08:00:00,L,300.7,309.8,1596,31.5,123,0,0,0,0,0,0
2987,L50166,2031-03-06 08:00:00,L,300.6,309.8,1455,48.0,125,0,0,0,0,0,0
2988,M17847,2031-03-07 08:00:00,M,300.6,309.8,1659,28.9,127,0,0,0,0,0,0
2989,M17848,2031-03-08 08:00:00,M,300.6,309.8,1532,42.5,130,0,0,0,0,0,0
2990,L50169,2031-03-09 08:00:00,L,300.6,309.8,1502,42.4,133,0,0,0,0,0,0
2991,L50170,2031-03-10 08:00:00,L,300.6,309.8,1688,28.6,135,0,0,0,0,0,0
2992,M17851,2031-03-11 08:00:00,M,300.5,309.7,1341,50.9,137,0,0,0,0,0,0
2993,M17852,2031-03-12 08:00:00,M,300.5,309.7,1685,29.4,140,0,0,0,0,0,0
2994,M17853,2031-03-13 08:00:00,M,300.5,309.8,1370,55.9,143,0,0,0,0,0,0
2995,L50174,2031-03-14 08:00:00,L,300.5,309.8,1461,52.5,146,0,0,0,0,0,0
2996,L50175,2031-03-15 08:00:00,L,300.5,309.8,1550,37.4,148,0,0,0,0,0,0
2997,M17856,2031-03-16 08:00:00,M,300.5,309.8,1508,37.8,150,0,0,0,0,0,0
2998,L50177,2031-03-17 08:00:00,L,300.5,309.8,1345,62.7,153,0,0,0,0,0,0
2999,L50178,2031-03-18 08:00:00,L,300.5,309.7,1616,34.5,155,0,0,0,0,0,0
3000,L50179,2031-03-19 08:00:00,L,300.5,309.7,1395,61.0,157,0,0,0,0,0,0
3001,H32414,2031-03-20 08:00:00,H,300.5,309.8,1324,72.8,159,1,0,0,1,0,0
3002,L50181,2031-03-21 08:00:00,L,300.5,309.8,1445,43.9,164,0,0,0,0,0,0
3003,M17862,2031-03-22 08:00:00,M,300.5,309.8,1555,38.9,166,0,0,0,0,0,0
3004,M17863,2031-03-23 08:00:00,M,300.6,309.9,1449,42.4,169,0,0,0,0,0,0
3005,M17864,2031-03-24 08:00:00,M,300.5,309.9,1466,53.2,172,0,0,0,0,0,0
3006,L50185,2031-03-25 08:00:00,L,300.5,309.9,1503,37.4,175,0,0,0,0,0,0
3007,L50186,2031-03-26 08:00:00,L,300.4,309.7,1488,35.7,177,0,0,0,0,0,0
3008,L50187,2031-03-27 08:00:00,L,300.4,309.7,1314,50.2,179,0,0,0,0,0,0
3009,M17868,2031-03-28 08:00:00,M,300.4,309.7,1547,38.0,181,0,0,0,0,0,0
3010,M17869,2031-03-29 08:00:00,M,300.4,309.7,1466,39.8,184,0,0,0,0,0,0
3011,L50190,2031-03-30 08:00:00,L,300.3,309.6,1537,37.1,187,0,0,0,0,0,0
3012,M17871,2031-03-31 08:00:00,M,300.2,309.5,1434,51.5,189,0,0,0,0,0,0
3013,L50192,2031-04-01 08:00:00,L,300.4,309.6,1432,44.7,192,0,0,0,0,0,0
3014,L50193,2031-04-02 08:00:00,L,300.5,309.6,1390,48.4,194,0,0,0,0,0,0
3015,L50194,2031-04-03 08:00:00,L,300.5,309.7,1580,42.8,196,0,0,0,0,0,0
3016,L50195,2031-04-04 08:00:00,L,300.5,309.7,1589,30.5,198,0,0,0,0,0,0
3017,L50196,2031-04-05 08:00:00,L,300.5,309.8,1441,48.8,200,0,0,0,0,0,0
3018,L50197,2031-04-06 08:00:00,L,300.5,309.8,1305,51.7,202,0,0,0,0,0,0
3019,M17878,2031-04-07 08:00:00,M,300.5,309.8,1566,35.9,204,0,0,0,0,0,0
3020,L50199,2031-04-08 08:00:00,L,300.5,309.8,1379,54.2,207,1,0,0,0,1,0
3021,L50200,2031-04-09 08:00:00,L,300.4,309.6,1543,38.1,209,0,0,0,0,0,0
3022,L50201,2031-04-10 08:00:00,L,300.5,309.8,1421,49.6,211,0,0,0,0,0,0
3023,L50202,2031-04-11 08:00:00,L,300.5,309.6,1760,30.6,213,0,0,0,0,0,0
3024,L50203,2031-04-12 08:00:00,L,300.4,309.5,1711,29.2,215,0,0,0,0,0,0
3025,L50204,2031-04-13 08:00:00,L,300.5,309.6,1465,41.6,217,0,0,0,0,0,0
3026,L50205,2031-04-14 08:00:00,L,300.5,309.6,1366,50.2,219,0,0,0,0,0,0
3027,M17886,2031-04-15 08:00:00,M,300.4,309.5,1888,21.9,221,0,0,0,0,0,0
3028,L50207,2031-04-16 08:00:00,L,300.5,309.5,1777,23.6,0,0,0,0,0,0,0
3029,L50208,2031-04-17 08:00:00,L,300.5,309.5,1379,55.6,2,0,0,0,0,0,0
3030,L50209,2031-04-18 08:00:00,L,300.4,309.5,1525,51.3,4,0,0,0,0,0,0
3031,M17890,2031-04-19 08:00:00,M,300.4,309.6,1563,34.0,6,0,0,0,0,0,0
3032,M17891,2031-04-20 08:00:00,M,300.5,309.7,1389,43.3,9,0,0,0,0,0,0
3033,M17892,2031-04-21 08:00:00,M,300.6,309.8,1447,42.9,12,0,0,0,0,0,0
3034,M17893,2031-04-22 08:00:00,M,300.6,309.7,1934,22.8,15,0,0,0,0,0,0
3035,H32448,2031-04-23 08:00:00,H,300.6,309.7,1470,43.8,18,0,0,0,0,0,0
3036,M17895,2031-04-24 08:00:00,M,300.6,309.7,1428,42.6,23,0,0,0,0,0,0
3037,L50216,2031-04-25 08:00:00,L,300.4,309.6,1319,48.1,26,0,0,0,0,0,0
3038,L50217,2031-04-26 08:00:00,L,300.5,309.7,1887,24.3,28,0,0,0,0,0,0
3039,L50218,2031-04-27 08:00:00,L,300.4,309.5,1349,50.4,30,0,0,0,0,0,0
3040,M17899,2031-04-28 08:00:00,M,300.3,309.5,1665,31.4,32,0,0,0,0,0,0
3041,L50220,2031-04-29 08:00:00,L,300.3,309.5,1474,38.7,35,0,0,0,0,0,0
3042,L50221,2031-04-30 08:00:00,L,300.4,309.5,1543,38.9,37,0,0,0,0,0,0
3043,M17902,2031-05-01 08:00:00,M,300.2,309.4,1459,43.9,39,0,0,0,0,0,0
3044,L50223,2031-05-02 08:00:00,L,300.3,309.5,1551,37.9,42,0,0,0,0,0,0
3045,L50224,2031-05-03 08:00:00,L,300.2,309.4,1981,21.4,44,0,0,0,0,0,0
3046,L50225,2031-05-04 08:00:00,L,300.2,309.4,1526,35.3,46,0,0,0,0,0,0
3047,M17906,2031-05-05 08:00:00,M,300.2,309.4,1501,40.0,48,0,0,0,0,0,0
3048,L50227,2031-05-06 08:00:00,L,300.2,309.4,1558,38.3,51,0,0,0,0,0,0
3049,L50228,2031-05-07 08:00:00,L,300.2,309.3,1532,43.2,53,0,0,0,0,0,0
3050,L50229,2031-05-08 08:00:00,L,300.1,309.2,1326,55.9,55,0,0,0,0,0,0
3051,L50230,2031-05-09 08:00:00,L,300.2,309.2,1431,51.3,57,0,0,0,0,0,0
3052,L50231,2031-05-10 08:00:00,L,300.2,309.3,1366,49.3,59,0,0,0,0,0,0
3053,L50232,2031-05-11 08:00:00,L,300.1,309.2,1421,42.5,61,0,0,0,0,0,0
3054,H32467,2031-05-12 08:00:00,H,300.2,309.3,1506,35.6,63,0,0,0,0,0,0
3055,H32468,2031-05-13 08:00:00,H,300.2,309.3,1342,48.7,68,0,0,0,0,0,0
3056,L50235,2031-05-14 08:00:00,L,300.1,309.2,1427,37.6,73,0,0,0,0,0,0
3057,L50236,2031-05-15 08:00:00,L,300.2,309.2,1667,29.9,75,0,0,0,0,0,0
3058,L50237,2031-05-16 08:00:00,L,300.1,309.1,1400,46.7,77,0,0,0,0,0,0
3059,L50238,2031-05-17 08:00:00,L,300.0,309.0,1709,32.1,79,0,0,0,0,0,0
3060,M17919,2031-05-18 08:00:00,M,300.0,309.0,1368,45.8,81,0,0,0,0,0,0
3061,L50240,2031-05-19 08:00:00,L,300.0,309.1,1882,23.8,84,0,0,0,0,0,0
3062,L50241,2031-05-20 08:00:00,L,300.1,309.1,1353,58.7,86,0,0,0,0,0,0
3063,L50242,2031-05-21 08:00:00,L,299.9,309.0,1553,40.0,88,0,0,0,0,0,0
3064,L50243,2031-05-22 08:00:00,L,300.0,309.1,1431,45.4,90,0,0,0,0,0,0
3065,M17924,2031-05-23 08:00:00,M,300.1,309.1,1731,30.4,92,0,0,0,0,0,0
3066,M17925,2031-05-24 08:00:00,M,300.1,309.2,1687,27.7,95,0,0,0,0,0,1
3067,M17926,2031-05-25 08:00:00,M,300.1,309.2,1457,44.3,98,0,0,0,0,0,0
3068,L50247,2031-05-26 08:00:00,L,300.1,309.2,1533,37.0,101,0,0,0,0,0,0
3069,H32482,2031-05-27 08:00:00,H,300.0,309.0,1622,31.8,103,0,0,0,0,0,0
3070,L50249,2031-05-28 08:00:00,L,300.0,309.1,1791,28.2,108,0,0,0,0,0,0
3071,L50250,2031-05-29 08:00:00,L,300.0,309.1,1631,28.3,110,0,0,0,0,0,0
3072,L50251,2031-05-30 08:00:00,L,300.0,309.0,2174,16.9,112,0,0,0,0,0,0
3073,L50252,2031-05-31 08:00:00,L,300.1,309.0,1314,58.2,114,0,0,0,0,0,0
3074,L50253,2031-06-01 08:00:00,L,300.1,309.1,1478,46.9,116,0,0,0,0,0,0
3075,L50254,2031-06-02 08:00:00,L,300.1,309.2,1783,27.3,118,0,0,0,0,0,0
3076,M17935,2031-06-03 08:00:00,M,300.1,309.2,1385,46.1,120,0,0,0,0,0,0
3077,L50256,2031-06-04 08:00:00,L,300.0,309.2,1444,43.6,123,0,0,0,0,0,0
3078,L50257,2031-06-05 08:00:00,L,300.1,309.3,1841,23.0,125,0,0,0,0,0,0
3079,M17938,2031-06-06 08:00:00,M,300.1,309.4,1349,56.2,127,0,0,0,0,0,0
3080,L50259,2031-06-07 08:00:00,L,300.1,309.3,1340,56.0,130,0,0,0,0,0,0
3081,M17940,2031-06-08 08:00:00,M,299.9,309.2,1539,43.2,132,0,0,0,0,0,0
3082,M17941,2031-06-09 08:00:00,M,300.0,309.3,1932,21.8,135,0,0,0,0,0,0
3083,M17942,2031-06-10 08:00:00,M,300.0,309.3,1407,43.9,138,0,0,0,0,0,0
3084,L50263,2031-06-11 08:00:00,L,300.1,309.3,1712,28.5,141,0,0,0,0,0,0
3085,H32498,2031-06-12 08:00:00,H,300.1,309.4,1329,55.2,143,0,0,0,0,0,0
3086,L50265,2031-06-13 08:00:00,L,300.1,309.2,1441,42.9,148,0,0,0,0,0,0
3087,L50266,2031-06-14 08:00:00,L,300.0,309.2,1610,32.1,150,0,0,0,0,0,0
3088,M17947,2031-06-15 08:00:00,M,300.0,309.1,1474,45.2,152,0,0,0,0,0,0
3089,M17948,2031-06-16 08:00:00,M,300.0,309.1,1624,30.8,155,0,0,0,0,0,0
3090,H32503,2031-06-17 08:00:00,H,300.1,309.3,1520,38.2,158,0,0,0,0,0,0
3091,H32504,2031-06-18 08:00:00,H,300.1,309.3,1448,45.8,163,0,0,0,0,0,0
3092,L50271,2031-06-19 08:00:00,L,300.0,309.3,1558,29.7,168,0,0,0,0,0,0
3093,M17952,2031-06-20 08:00:00,M,300.0,309.3,2293,16.3,170,0,0,0,0,0,0
3094,L50273,2031-06-21 08:00:00,L,300.0,309.3,1397,51.2,173,0,0,0,0,0,0
3095,L50274,2031-06-22 08:00:00,L,300.0,309.3,1972,22.0,175,0,0,0,0,0,0
3096,M17955,2031-06-23 08:00:00,M,299.9,309.2,1574,36.5,177,0,0,0,0,0,0
3097,L50276,2031-06-24 08:00:00,L,299.9,309.2,1560,38.9,180,0,0,0,0,0,0
3098,M17957,2031-06-25 08:00:00,M,299.9,309.2,1353,49.8,182,0,0,0,0,0,0
3099,M17958,2031-06-26 08:00:00,M,299.9,309.2,1389,51.2,185,0,0,0,0,0,0
3100,M17959,2031-06-27 08:00:00,M,299.9,309.1,1513,43.8,188,0,0,0,0,0,0
3101,L50280,2031-06-28 08:00:00,L,299.8,309.1,1578,42.1,191,0,0,0,0,0,0
3102,H32515,2031-06-29 08:00:00,H,299.8,309.0,1467,37.3,193,0,0,0,0,0,0
3103,L50282,2031-06-30 08:00:00,L,299.9,309.1,1412,48.3,198,0,0,0,0,0,0
3104,L50283,2031-07-01 08:00:00,L,299.8,309.1,1668,30.3,200,0,0,0,0,0,0
3105,M17964,2031-07-02 08:00:00,M,299.8,309.2,1678,29.8,202,0,0,0,0,0,0
3106,L50285,2031-07-03 08:00:00,L,299.8,309.1,1612,35.4,205,0,0,0,0,0,0
3107,L50286,2031-07-04 08:00:00,L,299.8,309.1,1485,39.9,207,0,0,0,0,0,0
3108,M17967,2031-07-05 08:00:00,M,299.8,309.1,1456,39.4,209,0,0,0,0,0,0
3109,L50288,2031-07-06 08:00:00,L,299.8,309.2,1504,38.7,212,0,0,0,0,0,0
3110,L50289,2031-07-07 08:00:00,L,299.9,309.2,1491,44.3,214,0,0,0,0,0,0
3111,H32524,2031-07-08 08:00:00,H,299.9,309.2,1525,33.2,0,0,0,0,0,0,0
3112,L50291,2031-07-09 08:00:00,L,300.0,309.2,1759,27.9,5,0,0,0,0,0,0
3113,M17972,2031-07-10 08:00:00,M,299.8,309.1,1355,56.7,7,0,0,0,0,0,0
3114,M17973,2031-07-11 08:00:00,M,299.9,309.1,1345,56.8,10,0,0,0,0,0,0
3115,M17974,2031-07-12 08:00:00,M,299.9,309.2,1683,30.5,13,0,0,0,0,0,0
3116,L50295,2031-07-13 08:00:00,L,299.9,309.2,1658,34.8,16,0,0,0,0,0,0
3117,L50296,2031-07-14 08:00:00,L,300.0,309.2,1566,34.4,18,0,0,0,0,0,0
3118,M17977,2031-07-15 08:00:00,M,300.1,309.3,1469,43.9,20,0,0,0,0,0,0
3119,M17978,2031-07-16 08:00:00,M,300.2,309.5,1458,46.9,23,0,0,0,0,0,0
3120,L50299,2031-07-17 08:00:00,L,300.1,309.4,1858,23.6,26,0,0,0,0,0,0
3121,H32534,2031-07-18 08:00:00,H,300.1,309.4,1563,40.8,28,0,0,0,0,0,0
3122,L50301,2031-07-19 08:00:00,L,300.1,309.4,2141,17.9,33,0,0,0,0,0,0
3123,L50302,2031-07-20 08:00:00,L,300.0,309.3,1473,46.0,35,0,0,0,0,0,0
3124,H32537,2031-07-21 08:00:00,H,300.0,309.4,1498,38.5,37,0,0,0,0,0,0
3125,L50304,2031-07-22 08:00:00,L,300.1,309.4,1568,39.7,42,0,0,0,0,0,0
3126,L50305,2031-07-23 08:00:00,L,300.1,309.4,1694,27.4,44,0,0,0,0,0,0
3127,L50306,2031-07-24 08:00:00,L,300.0,309.4,1499,35.7,46,0,0,0,0,0,0
3128,L50307,2031-07-25 08:00:00,L,300.0,309.5,1717,28.3,48,0,0,0,0,0,0
3129,M17988,2031-07-26 08:00:00,M,300.1,309.5,1462,42.8,50,0,0,0,0,0,0
3130,L50309,2031-07-27 08:00:00,L,300.1,309.6,1642,34.5,53,0,0,0,0,0,0
3131,L50310,2031-07-28 08:00:00,L,300.1,309.6,1760,25.4,55,0,0,0,0,0,0
3132,L50311,2031-07-29 08:00:00,L,300.1,309.5,1660,32.7,57,0,0,0,0,0,0
3133,L50312,2031-07-30 08:00:00,L,300.1,309.5,1557,40.6,59,0,0,0,0,0,0
3134,H32547,2031-07-31 08:00:00,H,300.2,309.6,1442,49.2,61,0,0,0,0,0,0
3135,L50314,2031-08-01 08:00:00,L,300.2,309.6,1359,51.5,66,0,0,0,0,0,0
3136,L50315,2031-08-02 08:00:00,L,300.4,309.8,1342,52.5,68,0,0,0,0,0,0
3137,L50316,2031-08-03 08:00:00,L,300.4,309.9,1435,54.8,70,0,0,0,0,0,0
3138,L50317,2031-08-04 08:00:00,L,300.4,309.9,1567,36.5,72,0,0,0,0,0,0
3139,L50318,2031-08-05 08:00:00,L,300.4,309.9,1376,43.5,74,0,0,0,0,0,0
3140,H32553,2031-08-06 08:00:00,H,300.4,309.9,1513,38.7,76,0,0,0,0,0,0
3141,H32554,2031-08-07 08:00:00,H,300.4,309.9,2563,12.8,81,1,0,0,1,0,0
3142,L50321,2031-08-08 08:00:00,L,300.5,310.0,1521,45.1,86,0,0,0,0,0,0
3143,L50322,2031-08-09 08:00:00,L,300.6,310.0,1658,34.7,88,0,0,0,0,0,0
3144,H32557,2031-08-10 08:00:00,H,300.6,310.0,1419,42.4,90,0,0,0,0,0,0
3145,M18004,2031-08-11 08:00:00,M,300.6,310.0,1478,36.3,95,0,0,0,0,0,0
3146,M18005,2031-08-12 08:00:00,M,300.5,310.0,1415,43.5,98,0,0,0,0,0,0
3147,M18006,2031-08-13 08:00:00,M,300.5,309.9,1780,26.5,101,0,0,0,0,0,0
3148,M18007,2031-08-14 08:00:00,M,300.4,309.7,1440,42.8,104,0,0,0,0,0,0
3149,H32562,2031-08-15 08:00:00,H,300.4,309.8,1448,39.7,107,0,0,0,0,0,0
3150,H32563,2031-08-16 08:00:00,H,300.4,309.7,1500,35.2,112,0,0,0,0,0,0
3151,L50330,2031-08-17 08:00:00,L,300.4,309.8,1513,32.9,117,0,0,0,0,0,0
3152,L50331,2031-08-18 08:00:00,L,300.5,309.8,1428,43.8,119,0,0,0,0,0,0
3153,M18012,2031-08-19 08:00:00,M,300.5,309.8,1473,42.3,121,0,0,0,0,0,0
3154,M18013,2031-08-20 08:00:00,M,300.5,309.9,1483,49.3,124,0,0,0,0,0,0
3155,L50334,2031-08-21 08:00:00,L,300.4,309.7,1534,42.5,127,0,0,0,0,0,0
3156,L50335,2031-08-22 08:00:00,L,300.5,309.8,1367,54.0,129,0,0,0,0,0,0
3157,L50336,2031-08-23 08:00:00,L,300.4,309.7,1467,36.9,131,0,0,0,0,0,0
3158,M18017,2031-08-24 08:00:00,M,300.4,309.7,1488,42.2,133,0,0,0,0,0,0
3159,L50338,2031-08-25 08:00:00,L,300.4,309.7,1679,30.1,136,0,0,0,0,0,0
3160,H32573,2031-08-26 08:00:00,H,300.4,309.8,1409,47.5,138,0,0,0,0,0,0
3161,M18020,2031-08-27 08:00:00,M,300.4,309.7,1367,51.2,143,0,0,0,0,0,0
3162,L50341,2031-08-28 08:00:00,L,300.4,309.8,1314,63.1,146,0,0,0,0,0,0
3163,L50342,2031-08-29 08:00:00,L,300.5,309.9,1480,40.0,148,0,0,0,0,0,0
3164,L50343,2031-08-30 08:00:00,L,300.4,309.8,1549,38.9,150,0,0,0,0,0,0
3165,L50344,2031-08-31 08:00:00,L,300.4,309.7,1685,31.3,152,0,0,0,0,0,0
3166,L50345,2031-09-01 08:00:00,L,300.4,309.6,1536,34.5,154,0,0,0,0,0,0
3167,M18026,2031-09-02 08:00:00,M,300.4,309.7,1539,37.7,156,0,0,0,0,0,0
3168,L50347,2031-09-03 08:00:00,L,300.4,309.7,1384,45.1,159,0,0,0,0,0,0
3169,M18028,2031-09-04 08:00:00,M,300.4,309.6,1614,30.3,161,0,0,0,0,0,0
3170,M18029,2031-09-05 08:00:00,M,300.4,309.6,1675,35.5,164,0,0,0,0,0,0
3171,M18030,2031-09-06 08:00:00,M,300.4,309.7,1685,32.3,167,0,0,0,0,0,0
3172,L50351,2031-09-07 08:00:00,L,300.4,309.6,1386,56.9,170,0,0,0,0,0,0
3173,M18032,2031-09-08 08:00:00,M,300.3,309.6,1488,41.3,172,0,0,0,0,0,0
3174,L50353,2031-09-09 08:00:00,L,300.3,309.6,1624,32.6,175,0,0,0,0,0,0
3175,L50354,2031-09-10 08:00:00,L,300.3,309.6,1600,34.6,177,0,0,0,0,0,0
3176,L50355,2031-09-11 08:00:00,L,300.3,309.6,1468,44.7,179,0,0,0,0,0,0
3177,L50356,2031-09-12 08:00:00,L,300.3,309.6,1435,45.4,181,0,0,0,0,0,0
3178,M18037,2031-09-13 08:00:00,M,300.2,309.5,1564,33.4,183,0,0,0,0,0,0
3179,M18038,2031-09-14 08:00:00,M,300.2,309.4,1329,53.6,186,0,0,0,0,0,0
3180,L50359,2031-09-15 08:00:00,L,300.1,309.3,1570,36.8,189,0,0,0,0,0,0
3181,M18040,2031-09-16 08:00:00,M,300.2,309.4,1433,48.8,191,0,0,0,0,0,0
3182,L50361,2031-09-17 08:00:00,L,300.2,309.4,1527,37.0,194,0,0,0,0,0,0
3183,M18042,2031-09-18 08:00:00,M,300.1,309.3,1443,50.3,196,0,0,0,0,0,0
3184,L50363,2031-09-19 08:00:00,L,300.1,309.3,1616,32.0,199,0,0,0,0,0,0
3185,L50364,2031-09-20 08:00:00,L,300.1,309.3,1654,31.0,201,0,0,0,0,0,0
3186,L50365,2031-09-21 08:00:00,L,300.1,309.3,1685,27.1,203,0,0,0,0,0,0
3187,M18046,2031-09-22 08:00:00,M,300.2,309.4,1456,48.8,205,0,0,0,0,0,0
3188,M18047,2031-09-23 08:00:00,M,300.2,309.4,1752,27.8,208,0,0,0,0,0,0
3189,M18048,2031-09-24 08:00:00,M,300.1,309.2,1438,51.0,211,0,0,0,0,0,0
3190,L50369,2031-09-25 08:00:00,L,300.1,309.1,1551,33.7,214,0,0,0,0,0,0
3191,L50370,2031-09-26 08:00:00,L,300.1,309.2,1599,30.1,216,0,0,0,0,0,0
3192,M18051,2031-09-27 08:00:00,M,300.1,309.2,1732,33.7,218,0,0,0,0,0,0
3193,M18052,2031-09-28 08:00:00,M,300.1,309.2,1418,39.8,221,0,0,0,0,0,0
3194,L50373,2031-09-29 08:00:00,L,300.0,309.1,1401,44.5,0,0,0,0,0,0,0
3195,L50374,2031-09-30 08:00:00,L,300.0,309.0,1454,51.7,2,0,0,0,0,0,0
3196,M18055,2031-10-01 08:00:00,M,300.0,309.2,1635,32.4,4,0,0,0,0,0,0
3197,L50376,2031-10-02 08:00:00,L,300.0,309.1,1489,40.3,7,0,0,0,0,0,0
3198,L50377,2031-10-03 08:00:00,L,300.0,309.1,1465,40.6,9,0,0,0,0,0,0
3199,M18058,2031-10-04 08:00:00,M,300.0,309.1,1463,45.7,11,0,0,0,0,0,0
3200,H32613,2031-10-05 08:00:00,H,300.1,309.1,1560,35.4,14,0,0,0,0,0,0
3201,M18060,2031-10-06 08:00:00,M,300.1,309.2,1454,44.4,19,0,0,0,0,0,0
3202,L50381,2031-10-07 08:00:00,L,300.2,309.1,1479,47.0,22,0,0,0,0,0,0
3203,L50382,2031-10-08 08:00:00,L,300.2,309.2,1430,43.4,24,0,0,0,0,0,0
3204,M18063,2031-10-09 08:00:00,M,300.1,309.1,1533,38.0,26,0,0,0,0,0,0
3205,L50384,2031-10-10 08:00:00,L,300.1,309.0,1404,54.8,29,0,0,0,0,0,0
3206,M18065,2031-10-11 08:00:00,M,300.1,308.9,1548,38.4,31,0,0,0,0,0,0
3207,M18066,2031-10-12 08:00:00,M,300.1,309.0,1612,33.0,34,0,0,0,0,0,0
3208,M18067,2031-10-13 08:00:00,M,300.2,309.0,1642,31.2,37,0,0,0,0,0,0
3209,M18068,2031-10-14 08:00:00,M,300.2,309.1,1406,42.2,40,0,0,0,0,0,0
3210,L50389,2031-10-15 08:00:00,L,300.3,309.2,1587,31.4,43,0,0,0,0,0,0
3211,M18070,2031-10-16 08:00:00,M,300.3,309.2,1364,47.6,45,0,0,0,0,0,0
3212,L50391,2031-10-17 08:00:00,L,300.3,309.2,1462,51.4,48,0,0,0,0,0,0
3213,L50392,2031-10-18 08:00:00,L,300.3,309.2,1649,32.4,50,0,0,0,0,0,0
3214,L50393,2031-10-19 08:00:00,L,300.4,309.2,1752,29.0,52,0,0,0,0,0,0
3215,H32628,2031-10-20 08:00:00,H,300.4,309.3,1396,51.2,54,0,0,0,0,0,0
3216,M18075,2031-10-21 08:00:00,M,300.5,309.4,2179,16.3,59,0,0,0,0,0,0
3217,L50396,2031-10-22 08:00:00,L,300.5,309.5,1653,27.6,62,0,0,0,0,0,0
3218,L50397,2031-10-23 08:00:00,L,300.6,309.5,2025,21.4,64,0,0,0,0,0,0
3219,L50398,2031-10-24 08:00:00,L,300.6,309.6,1426,53.6,66,0,0,0,0,0,0
3220,M18079,2031-10-25 08:00:00,M,300.6,309.6,1503,38.4,68,0,0,0,0,0,0
3221,M18080,2031-10-26 08:00:00,M,300.7,309.6,1525,36.5,71,0,0,0,0,0,0
3222,L50401,2031-10-27 08:00:00,L,300.6,309.6,1423,49.1,74,0,0,0,0,0,0
3223,M18082,2031-10-28 08:00:00,M,300.7,309.7,1435,44.7,76,0,0,0,0,0,0
3224,H32637,2031-10-29 08:00:00,H,300.6,309.5,1495,36.5,79,0,0,0,0,0,0
3225,M18084,2031-10-30 08:00:00,M,300.6,309.5,1557,33.8,84,0,0,0,0,0,0
3226,L50405,2031-10-31 08:00:00,L,300.6,309.4,1474,40.7,87,0,0,0,0,0,0
3227,L50406,2031-11-01 08:00:00,L,300.5,309.3,1465,46.0,89,0,0,0,0,0,0
3228,M18087,2031-11-02 08:00:00,M,300.5,309.3,1589,34.9,91,0,0,0,0,0,0
3229,L50408,2031-11-03 08:00:00,L,300.5,309.3,1475,46.8,94,0,0,0,0,0,0
3230,L50409,2031-11-04 08:00:00,L,300.6,309.4,1442,43.2,96,0,0,0,0,0,0
3231,L50410,2031-11-05 08:00:00,L,300.6,309.4,1556,36.0,98,0,0,0,0,0,0
3232,L50411,2031-11-06 08:00:00,L,300.7,309.3,1425,45.3,100,0,0,0,0,0,0
3233,L50412,2031-11-07 08:00:00,L,300.7,309.3,1580,38.3,102,0,0,0,0,0,0
3234,H32647,2031-11-08 08:00:00,H,300.8,309.4,1474,40.7,104,0,0,0,0,0,0
3235,L50414,2031-11-09 08:00:00,L,300.8,309.4,1489,38.4,109,0,0,0,0,0,0
3236,L50415,2031-11-10 08:00:00,L,300.8,309.4,1946,20.5,111,0,0,0,0,0,0
3237,M18096,2031-11-11 08:00:00,M,300.8,309.4,1342,62.4,113,1,0,1,0,0,0
3238,M18097,2031-11-12 08:00:00,M,300.9,309.5,1758,26.8,116,0,0,0,0,0,0
3239,M18098,2031-11-13 08:00:00,M,300.9,309.4,1724,25.6,119,0,0,0,0,0,0
3240,L50419,2031-11-14 08:00:00,L,301.0,309.5,1430,48.5,122,0,0,0,0,0,0
3241,L50420,2031-11-15 08:00:00,L,300.9,309.5,1612,35.2,124,0,0,0,0,0,0
3242,H32655,2031-11-16 08:00:00,H,300.9,309.5,1469,43.4,126,0,0,0,0,0,0
3243,L50422,2031-11-17 08:00:00,L,300.9,309.6,1384,42.4,131,0,0,0,0,0,0
3244,L50423,2031-11-18 08:00:00,L,301.0,309.6,1724,28.1,133,0,0,0,0,0,0
3245,M18104,2031-11-19 08:00:00,M,301.0,309.6,1397,48.0,135,0,0,0,0,0,0
3246,M18105,2031-11-20 08:00:00,M,301.0,309.6,1588,32.7,138,0,0,0,0,0,0
3247,L50426,2031-11-21 08:00:00,L,301.0,309.7,1468,42.0,141,0,0,0,0,0,0
3248,M18107,2031-11-22 08:00:00,M,301.0,309.8,1594,31.1,143,0,0,0,0,0,0
3249,M18108,2031-11-23 08:00:00,M,301.0,309.7,1511,39.3,146,0,0,0,0,0,0
3250,L50429,2031-11-24 08:00:00,L,301.1,309.8,1493,38.9,149,0,0,0,0,0,0
3251,H32664,2031-11-25 08:00:00,H,301.2,309.8,1709,27.0,151,0,0,0,0,0,0
3252,L50431,2031-11-26 08:00:00,L,301.1,309.6,1501,36.1,156,0,0,0,0,0,0
3253,L50432,2031-11-27 08:00:00,L,301.1,309.7,1668,30.8,158,0,0,0,0,0,0
3254,L50433,2031-11-28 08:00:00,L,301.1,309.6,1502,48.9,160,0,0,0,0,0,0
3255,M18114,2031-11-29 08:00:00,M,301.0,309.7,1288,58.4,162,0,0,0,0,0,0
